Target_Code,Date,Close,DeltaX,PTR_Calc,Open,High,Low,Turnover,PTR,Main_Pct,Dare_Pct,Flow_5d,ASR,CYS34,LFS,D_Pos,X90,X70,Y_Overlap,Z_Profit,HCCYF13
300475,20260819,154.4,12.82,-1.37,165.07,166.0,152.8,8.29,12.99,-0.459,-0.113,-0.12,72.212,-6.724,43.213,37.51,20.89,8.07,38.62,28.05,63.84
300655,20250912,13.34,2.46,,13.82,13.82,13.27,9.03,12.52,-0.658,-0.262,-5.09,77.578,2.946,38.526,53.75,9.71,7.25,74.64,60.22,71.32
300655,20250915,12.9,2.66,-0.33,13.48,13.56,12.88,8.01,11.11,-0.396,-0.212,-7.71,91.705,-0.623,40.655,53.13,9.56,6.9,72.18,42.79,69.63
300655,20250916,13.03,2.93,0.1,12.9,13.11,12.82,5.3,7.36,0.101,0.069,-8.58,89.977,0.386,44.216,53.15,9.37,6.44,68.71,48.35,66.9
300655,20250917,13.38,3.26,0.28,13.05,13.73,13.0,8.64,11.98,0.082,0.209,-3.81,82.044,2.877,44.034,53.41,9.28,6.02,64.85,63.54,66.34
300655,20250918,13.05,3.56,-0.38,13.24,13.63,12.79,10.19,14.14,-0.417,-0.068,-5.69,92.059,0.203,42.561,52.87,8.99,5.43,60.43,43.7,66.71
300655,20250919,13.54,4.37,0.52,12.94,14.15,12.86,13.09,18.15,1.459,0.282,4.01,83.961,3.681,39.305,53.72,8.8,4.43,50.41,71.89,68.56
300655,20250922,13.63,4.67,0.1,13.55,13.77,13.29,9.09,12.61,-0.331,0.086,5.02,84.498,3.888,40.172,53.56,8.53,3.86,45.27,77.22,67.91
300655,20250923,14.34,4.2,0.42,13.64,14.34,13.51,13.77,19.11,0.605,0.366,6.44,76.963,8.068,37.317,54.21,8.35,4.15,49.76,100.0,69.82
300655,20250924,15.15,6.75,-0.16,14.34,15.93,14.11,19.86,27.55,0.728,0.403,7.19,45.49,11.188,31.752,54.22,13.14,6.39,48.65,91.19,74.24
300655,20250925,15.33,3.52,-0.08,15.1,15.87,14.8,14.87,20.62,0.842,0.164,9.7,46.017,10.204,31.659,54.38,11.52,8.0,69.49,86.64,75.02
300655,20250926,14.57,3.0,-0.43,15.15,15.45,14.55,10.81,15.0,-0.828,-0.262,3.97,81.311,3.816,34.01,53.58,10.81,7.81,72.22,63.54,73.86
300655,20250929,14.56,3.0,-0.02,14.59,14.82,14.28,7.89,10.95,-0.114,-0.144,3.95,83.085,3.361,37.474,53.32,10.46,7.46,71.34,62.54,71.66
300655,20250930,15.34,3.09,0.49,14.75,15.35,14.45,10.05,14.73,0.418,0.223,3.58,60.927,7.987,38.458,53.87,10.12,7.03,69.45,88.87,71.13
300655,20251009,14.99,2.57,-0.43,15.27,15.89,14.99,11.38,16.66,-0.499,0.003,-0.38,77.127,4.574,38.186,53.31,9.89,7.32,74.01,66.18,71.38
300655,20251010,15.24,2.96,0.24,14.79,15.29,14.67,8.86,12.98,0.071,0.075,-3.1,71.942,5.767,39.745,53.28,9.78,6.82,69.73,78.98,70.32
300655,20251013,16.48,3.28,0.39,14.69,16.48,14.57,13.93,20.4,1.335,0.305,5.22,49.154,12.794,37.185,54.33,10.28,7.0,68.05,100.0,72.07
300655,20251014,15.83,3.64,-0.26,16.34,16.35,15.64,11.14,16.32,-1.048,-0.344,1.49,71.439,6.872,37.461,53.55,10.52,6.88,65.36,85.87,71.99
300655,20251015,15.82,4.15,-0.01,15.84,15.94,14.92,8.3,12.17,-0.618,-0.218,-2.57,74.435,6.055,39.6,52.97,10.16,6.01,59.16,85.59,70.53
300655,20251016,15.2,4.3,-0.56,15.54,15.74,15.17,5.26,7.7,-0.45,-0.176,-3.41,83.373,1.697,43.4,52.49,10.01,5.71,57.05,56.36,67.79
300655,20251017,13.69,3.92,-0.79,15.18,15.54,13.6,8.83,12.93,-0.944,-0.307,-7.84,49.978,-8.049,43.245,51.6,9.89,5.97,60.37,15.4,67.42
300655,20251020,13.67,3.37,-0.02,13.97,14.33,13.66,5.55,8.13,0.142,0.146,-16.33,51.808,-7.715,45.818,51.6,9.71,6.34,65.24,14.49,65.3
300655,20251021,13.93,2.79,0.19,13.8,14.09,13.4,5.26,7.7,0.201,0.101,-11.02,68.458,-5.548,47.939,51.62,9.56,6.77,70.81,24.41,63.34
300655,20251022,13.75,2.76,-0.1,13.81,14.07,13.64,4.03,5.9,-0.17,-0.111,-9.65,60.069,-6.443,50.664,51.48,9.6,6.84,71.28,19.01,60.92
300655,20251023,13.88,2.53,0.17,13.65,13.9,13.19,5.15,7.54,0.265,-0.079,-4.69,68.753,-5.145,51.469,51.28,9.48,6.95,73.35,27.53,59.53
300655,20251024,15.03,2.5,0.57,14.7,15.54,14.7,13.94,19.65,0.988,0.207,8.16,89.837,2.418,43.121,49.29,8.99,6.49,72.24,55.71,63.81
300655,20251027,17.51,2.93,0.66,16.71,18.04,16.71,26.72,37.67,3.091,0.253,12.02,35.682,13.14,29.401,51.04,13.61,10.68,78.52,89.21,74.38
300655,20251028,18.25,5.58,-0.06,16.76,19.56,16.76,28.96,40.84,2.368,0.24,12.38,50.102,12.877,22.903,51.12,16.99,11.41,67.18,86.07,81.46
300655,20251029,18.44,5.27,-0.04,18.17,18.73,17.84,18.18,25.63,0.064,-0.053,10.69,59.736,10.939,24.75,50.52,16.0,10.73,67.05,84.19,81.55
300655,20251030,17.61,5.21,-0.67,18.31,18.58,17.6,12.36,17.43,-1.052,-0.219,7.93,66.93,4.722,28.661,49.51,15.27,10.06,65.87,51.26,79.59
300655,20251031,17.45,5.34,-0.15,17.92,18.2,17.38,9.84,13.88,-0.22,-0.124,6.28,70.683,3.149,32.672,49.56,14.85,9.51,64.03,43.95,77.15
300655,20251103,17.38,6.15,0.03,17.44,17.55,16.74,8.89,12.53,-0.292,-0.077,1.34,73.531,2.418,36.067,49.34,13.92,7.77,55.8,45.62,74.82
300655,20251104,16.9,7.81,-0.28,17.49,17.58,16.73,7.32,10.32,-0.481,-0.19,-7.37,76.498,-0.528,39.499,48.8,13.55,5.74,42.4,31.76,72.26
300655,20251105,16.61,6.45,-0.07,16.52,16.7,16.23,6.55,9.23,-0.054,-0.102,-10.67,73.459,-2.038,42.528,48.59,13.05,6.6,50.61,28.58,69.77
300655,20251106,16.89,6.69,0.18,16.67,17.12,16.67,9.03,12.73,-0.083,0.152,-6.15,80.268,-0.271,42.755,49.04,12.5,5.81,46.46,37.23,68.94
300655,20251107,16.93,5.73,0.08,16.57,17.25,16.31,8.25,11.63,0.021,0.005,-4.84,82.789,0.078,43.444,49.07,11.64,5.91,50.81,41.14,67.86
300655,20251110,16.68,5.89,-0.26,16.89,17.14,16.53,6.64,9.37,-0.462,-0.032,-5.8,80.866,-1.336,45.167,48.88,11.43,5.54,48.52,28.21,66.14
300655,20251111,16.2,5.7,-0.23,16.78,16.88,16.09,6.83,9.62,-0.816,-0.173,-7.28,71.337,-3.97,46.183,48.08,11.26,5.56,49.43,17.34,64.8
300655,20251112,15.72,4.7,-0.04,15.97,16.01,15.44,5.75,8.11,0.05,-0.133,-7.09,61.106,-6.394,47.807,47.82,10.79,6.09,56.4,15.44,63.07
300655,20251113,16.14,3.99,0.17,15.72,16.38,15.67,6.07,8.56,0.051,0.123,-7.34,73.26,-3.501,48.605,48.13,10.62,6.63,62.38,23.64,61.8
300655,20251114,15.43,3.5,-0.29,15.9,16.01,15.43,5.21,7.34,-0.614,-0.132,-12.89,55.112,-7.343,49.95,47.7,10.41,6.91,66.33,9.81,60.2
300655,20251117,15.81,3.41,0.19,16.2,16.7,15.7,7.27,10.24,0.094,0.091,-8.54,69.778,-4.705,48.735,47.87,9.96,6.55,65.76,18.71,60.12
300655,20251118,15.26,3.0,-0.21,15.6,15.69,15.1,6.68,9.42,-0.27,-0.136,-5.04,53.789,-7.444,48.376,47.49,10.07,7.07,70.19,8.84,59.69
300655,20251119,15.67,3.21,0.28,15.22,15.98,15.22,7.93,11.18,0.509,0.089,-0.88,71.539,-4.319,46.8,48.0,9.94,6.73,67.71,22.25,60.12
300655,20251120,15.52,3.65,-0.13,16.12,16.28,15.48,8.13,11.46,-0.12,0.095,-1.86,70.02,-4.884,45.477,48.23,9.77,6.12,62.71,16.07,60.59
300655,20251121,15.08,3.67,-0.23,15.13,15.9,15.01,9.54,13.46,0.117,0.004,2.39,58.513,-6.704,43.249,48.42,9.63,5.96,61.91,5.11,61.86
300655,20251124,15.74,3.66,0.61,15.21,16.02,15.13,10.11,14.25,0.695,0.156,5.01,79.65,-2.066,41.318,48.99,9.25,5.59,60.43,35.0,63.22
300655,20251125,15.68,3.88,-0.07,15.71,16.09,15.45,8.61,12.15,0.139,0.041,7.15,80.752,-2.179,41.337,49.01,9.07,5.19,57.2,31.48,63.41
300655,20251126,15.14,3.67,-0.52,15.55,15.56,15.1,6.94,9.78,-0.6,-0.13,1.9,69.626,-5.176,42.787,48.5,8.9,5.23,58.8,6.29,62.59
300655,20251127,15.46,3.87,0.35,15.12,15.96,15.08,9.87,13.92,1.095,0.153,6.73,80.097,-2.636,41.266,49.13,8.72,4.85,55.6,23.62,63.65
300655,20251128,15.39,4.08,-0.09,15.58,15.82,15.33,6.21,8.75,-0.523,0.014,4.65,79.961,-2.878,43.381,49.08,8.54,4.46,52.23,19.08,62.37
300655,20251201,16.47,4.12,1.09,15.29,16.58,15.21,12.9,18.19,1.674,0.277,8.74,93.859,3.9,39.146,50.34,8.19,4.07,49.75,73.81,65.29
300655,20251202,16.29,3.79,-0.09,16.0,16.47,15.91,8.74,12.32,-0.565,-0.073,5.3,93.031,2.548,39.848,50.0,7.65,3.86,50.5,69.46,65.16
300655,20251203,16.94,2.71,0.31,16.32,17.06,16.02,14.31,20.17,0.817,0.31,10.54,91.665,5.731,36.138,51.0,6.73,4.02,59.77,85.15,68.19
300655,20251204,16.17,2.05,-0.66,16.65,16.74,16.16,8.73,12.31,-1.328,-0.251,1.37,94.358,0.651,37.922,49.98,6.2,4.15,66.87,52.33,67.5
300655,20251205,16.01,2.06,-0.13,16.17,16.26,15.67,6.14,8.66,-0.341,-0.148,1.39,93.883,-0.357,41.163,49.59,6.06,4.0,66.0,45.67,65.57
300655,20251208,16.49,2.25,0.53,15.91,16.56,15.91,6.86,9.67,0.437,0.221,-3.53,97.09,2.555,42.93,49.98,5.96,3.71,62.26,72.37,64.34
300655,20251209,16.6,1.99,0.04,16.56,16.98,16.35,8.78,12.37,0.035,0.156,-0.12,97.899,2.872,42.522,50.13,5.83,3.84,65.85,74.34,64.42
300655,20251210,17.18,2.01,0.36,16.6,17.23,16.45,10.5,14.81,0.921,0.256,0.14,89.031,5.792,40.809,50.91,5.94,3.93,66.11,92.73,65.46
300655,20251211,16.54,1.87,-0.64,17.19,17.2,16.53,7.75,10.93,-0.903,-0.166,2.42,98.02,1.456,41.914,50.19,5.78,3.91,67.63,60.58,64.75
300655,20251212,17.78,3.04,0.61,16.48,18.43,16.45,14.39,20.29,2.095,0.41,13.55,72.445,8.052,37.409,51.54,7.53,4.49,59.59,91.97,67.93
300655,20251215,17.77,2.94,-0.19,17.68,18.48,17.58,14.35,20.23,-0.347,0.218,8.67,76.795,6.503,34.896,51.33,8.57,5.63,65.68,82.1,70.25
300655,20251216,18.0,2.25,0.09,17.78,18.15,17.29,11.56,16.29,0.41,0.047,8.88,73.128,6.762,35.311,51.36,8.29,6.04,72.85,86.89,70.58
300655,20251217,17.38,2.69,-0.37,17.7,17.74,16.77,10.49,14.78,-0.882,-0.24,2.16,90.376,2.54,36.362,50.7,8.22,5.53,67.25,68.07,70.3
300655,20251218,16.9,2.64,-0.4,17.03,17.67,16.9,6.86,9.68,-0.12,-0.056,4.73,98.563,-0.3,39.644,50.4,7.99,5.35,67.0,48.09,68.29
300655,20251219,16.69,2.63,-0.19,17.0,17.15,16.55,68.0,8.01,-0.623,-0.087,-5.77,98.209,-1.494,42.953,50.0,7.85,5.22,66.49,38.8,66.0
300655,20251222,17.39,2.81,0.66,16.79,17.5,16.73,8.15,11.49,0.457,0.237,-3.37,92.123,2.544,43.286,50.33,7.75,4.94,63.67,71.79,65.41
300655,20251223,17.48,3.06,0.02,17.31,17.83,17.25,7.93,11.18,0.188,0.11,-4.56,91.294,2.804,43.657,50.41,7.66,4.6,60.0,72.57,64.81
300655,20251224,17.49,3.14,-0.03,17.52,17.74,17.31,6.83,9.63,0.013,0.079,1.2,91.759,2.593,44.82,50.37,7.41,4.27,57.62,70.91,63.69
300655,20251225,17.57,15.04,0.09,17.36,17.65,17.13,7.36,10.38,-0.026,0.045,2.17,91.212,2.819,45.122,50.14,19.0,3.96,55.09,75.66,63.07
300655,20251226,17.06,3.45,-0.64,17.5,17.5,16.8,7.55,10.64,-1.263,-0.183,-1.51,97.849,-0.276,45.108,49.22,7.09,3.64,51.38,44.2,62.66
300655,20251229,16.4,3.35,-0.55,16.9,16.92,16.3,6.9,9.72,-1.23,-0.152,-11.66,94.856,-3.9,45.644,48.3,7.01,3.66,52.19,17.71,61.94
300655,20251230,16.08,2.76,-0.12,16.24,16.45,16.0,5.12,7.22,-0.505,-0.094,-18.13,86.897,-5.431,47.661,47.93,6.75,3.99,59.15,11.98,60.27
300655,20251231,16.13,2.71,0.04,16.22,16.38,16.02,3.9,5.49,-0.045,0.034,-21.67,89.679,-4.891,50.364,48.01,6.8,4.09,60.11,13.88,58.07
300655,20260105,16.66,2.57,0.45,16.25,16.86,16.23,5.52,7.77,0.373,0.098,-21.05,98.756,-1.545,50.566,48.25,6.56,3.99,60.88,35.71,57.21
300655,20260106,17.47,2.35,0.82,16.58,17.88,16.49,10.44,14.7,1.438,0.121,0.81,95.227,3.153,45.446,48.99,6.24,3.89,62.36,75.91,59.75
300655,20260107,19.19,3.98,0.27,18.3,20.0,18.26,22.23,31.31,1.927,0.298,15.32,51.101,9.962,32.787,49.49,10.13,6.15,60.73,89.3,69.19
300655,20260108,19.08,1.96,-0.31,19.48,20.18,18.9,17.72,24.96,0.213,-0.076,13.32,63.997,6.852,29.888,48.85,10.29,8.33,80.9,74.38,72.89
300655,20260109,18.95,2.47,-0.1,18.9,19.19,18.7,10.35,14.58,-0.237,-0.109,10.9,70.987,5.309,32.684,48.28,10.22,7.75,75.86,69.49,72.05
300655,20260112,19.0,2.65,0.04,18.95,19.1,18.72,9.44,13.29,-0.113,-0.089,8.62,73.14,4.91,35.238,48.07,10.12,7.47,73.77,71.55,70.96
